Node ID,X location,Y location,Connections
0,0.1055443112358471,0.30402804433210784,"[1, 4, 6]"
1,0.09216070843264887,0.4185248800505684,"[0, 2, 5]"
2,0.08734043408611858,0.5850434589865284,"[1, 3, 7, 8]"
3,0.0463090714717964,0.7377771774217503,[2]
4,0.2651687926649573,0.12550938187494018,"[0, 5, 10, 11]"
5,0.2499329874411577,0.28648613120730104,"[1, 4, 6]"
6,0.24232991736791984,0.4225892736039778,"[0, 5]"
7,0.2491790051980868,0.5716247035332089,[2]
8,0.2463079648554176,0.7233856856257829,"[2, 9, 12]"
9,0.27433981329207524,0.8839788498830727,"[8, 12, 13]"
10,0.4333347696567791,0.08830506683631051,"[4, 14]"
11,0.4439701610165846,0.2396171822245813,"[4, 15]"
12,0.437927661642104,0.7650606434509293,"[8, 9, 16]"
13,0.3492143031288543,0.9091482929952038,[9]
14,0.6408095498578511,0.0805615545471173,"[10, 15, 18]"
15,0.5530982429329818,0.234091856809608,"[11, 14, 19]"
16,0.5971384874026572,0.7533858485915009,"[12, 17, 22]"
17,0.5920424036799598,0.9080662475547192,[16]
18,0.8171849456952904,0.11040196936421903,[14]
19,0.7034805025787836,0.2883826430798198,"[15, 20, 24]"
20,0.7251791770665278,0.40986946217486014,"[19, 25]"
21,0.7593510728296082,0.5961925815690889,[26]
22,0.6803408314751216,0.8063640921454416,"[16, 23]"
23,0.7588938527171093,0.9003235979003769,[22]
24,0.9118747219977388,0.2691301670011787,"[19, 25]"
25,0.8674978872635424,0.4339897123765942,"[20, 24, 26]"
26,0.8743307656768019,0.5954599763206307,"[21, 25]"
