Node ID,X location,Y location,Connections
0,0.5,0.5,"[1, 3, 5, 7, 9, 11]"
1,0.6984890064270387,0.5245380180048631,"[0, 2, 3, 11]"
2,0.8969780128540774,0.5490760360097261,[1]
3,0.577993956262788,0.6841655309401797,"[0, 1, 4, 5]"
4,0.6559879125255761,0.8683310618803595,[3]
5,0.37950494983574934,0.6596275129353167,"[0, 3, 6, 7]"
6,0.2590098996714987,0.8192550258706335,[5]
7,0.3015109935729613,0.4754619819951369,"[0, 5, 8, 9]"
8,0.10302198714592259,0.4509239639902738,[7]
9,0.42200604373721196,0.31583446905982027,"[0, 7, 10, 11]"
10,0.3440120874744239,0.13166893811964048,[9]
11,0.6204950501642508,0.3403724870646833,"[0, 1, 9, 12]"
12,0.7409901003285015,0.18074497412936663,[11]
