Node ID,X location,Y location,Connections
0,0.14877126991033496,0.3550633191912353,[2]
1,0.197899200174432,0.6182646268329479,[3]
2,0.3497300246845993,0.4099821034069521,"[0, 3, 5]"
3,0.3509378198394707,0.6637845473449799,"[1, 2]"
4,0.6482322439146515,0.1689730821018171,[5]
5,0.572788946406056,0.3981390603016921,"[2, 4, 6]"
6,0.628434258553804,0.6591996292902185,"[5, 7, 9]"
7,0.6424628142201992,0.8829462860499351,[6]
8,0.8410012312248993,0.441921934363382,[9]
9,0.8141644633922966,0.6712138687765749,"[6, 8]"
