Node ID,X location,Y location,Connections
0,0.030220934556177723,0.2689238810164196,"[1, 17]"
1,0.14100557856662616,0.4338247294476423,"[0, 6]"
2,0.08072492872381057,0.5990917252214081,"[3, 7, 24]"
3,0.10057243969095478,0.7118537692073627,[2]
4,0.3081229556080781,0.12247859166189133,[5]
5,0.26959002242037744,0.2769255436439603,"[4, 10]"
6,0.25292926206736505,0.4435683169373321,"[1, 7]"
7,0.2842964502630978,0.6475326051153321,"[2, 6, 8]"
8,0.2748496018881452,0.7687602170159273,"[7, 13]"
9,0.41674619395960016,0.06317783938667622,"[10, 18]"
10,0.490911481564559,0.2182345155282996,"[5, 9, 11, 16]"
11,0.4910839957200239,0.3933975430071052,"[10, 17]"
12,0.4367001433991656,0.5548886454877762,"[13, 18]"
13,0.4072115364112439,0.7154226932229192,"[8, 12]"
14,0.4368018015577519,0.9244412745092674,[20]
15,0.5847990682328561,0.09593713229637726,"[16, 21]"
16,0.588839895707918,0.252841647588891,"[10, 15, 22]"
17,0.6280621433503646,0.4644526690958181,"[0, 11, 18, 24]"
18,0.5373377687383865,0.6029864897702674,"[9, 12, 17, 19, 24, 29]"
19,0.5012725084184484,0.7740863703648734,[18]
20,0.5178558296666292,0.93763184084441,"[14, 26]"
21,0.7367375396944381,0.07817476764179276,[15]
22,0.7064304959553039,0.2738320230383907,"[16, 23, 27]"
23,0.6901486892491583,0.3643370544544931,[22]
24,0.7584595808660888,0.5513605119568012,"[2, 17, 18, 25, 29]"
25,0.7656335499405835,0.7406869033018668,"[24, 26, 30]"
26,0.7355113816552088,0.8946513760027118,"[20, 25]"
27,0.8737110109798562,0.3130908614076977,"[22, 28]"
28,0.9334683178668282,0.4331688106108501,[27]
29,0.8902071973015747,0.597746512461412,"[18, 24]"
30,0.8870922296463649,0.7327949877952249,[25]
